model,horizon,mae,rmse,mape
CopyLast,15min,4.017,8.694,9.395
CopyLast,30min,5.094,11.132,12.213
CopyLast,60min,6.795,14.209,16.714
HistAvg,15min,4.187,7.853,13.035
HistAvg,30min,4.187,7.853,13.035
HistAvg,60min,4.188,7.853,13.035
LSTM,15min,3.041,5.995,8.176
LSTM,30min,3.676,7.42,10.526
LSTM,60min,4.612,9.198,14.329
STGNN-identity,15min,3.015,5.932,8.06
STGNN-identity,30min,3.635,7.326,10.393
STGNN-identity,60min,4.543,9.059,13.985
STGNN-road,15min,2.926,5.611,7.775
STGNN-road,30min,3.508,6.947,10.008
STGNN-road,60min,4.381,8.681,13.482
